Date,High,Low,Open,Close,Volume,AdjClose,%Change,MA5,MA10,MA15,MA20,MA25,MA30,MA50,MA100,MA200,EMA5,EMA10,EMA15,EMA20,EMA25,EMA30,EMA50,EMA100,EMA200,UpperBand,LowerBand,Sto%K,Sto%D,CCI,ROC,ForceIndex,RSI(14),Rating
1/19/2016,190.1100006,186.1999969,189.9600067,188.0599976,195244400,173.9354401,0.0013,-0.0147,-0.0314,0,0,0,0,0,0,0,-0.0091,-0.0166,-0.0201,-0.0221,-0.0234,-0.0242,-0.0259,-0.0273,-0.0279,0,0,0,0,0,-6.60508798,-19430.41667,0,Hold
1/20/2016,187.5,181.0200043,185.0299988,185.6499939,286547800,171.7064362,-0.0128,-0.0232,-0.0374,0,0,0,0,0,0,0,-0.0146,-0.0235,-0.0277,-0.0301,-0.0315,-0.0325,-0.0346,-0.0362,-0.037,0,0,0,0,0,-6.624083486,-22262.15288,0,Buy
1/21/2016,188.8699951,184.6399994,186.2100067,186.6900024,195772900,172.6683502,0.0056,-0.0094,-0.024,0,0,0,0,0,0,0,-0.006,-0.0145,-0.019,-0.0215,-0.0231,-0.0242,-0.0264,-0.0282,-0.0291,0,0,0,0,0,-3.792815029,-9469.874764,0,Hold
1/22/2016,190.7599945,188.8800049,189.7799988,190.5200043,168319600,176.2106781,0.0205,0.0133,0.0024,0,0,0,0,0,0,0,0.0095,0.0046,0.001,-0.0012,-0.0027,-0.0037,-0.0059,-0.0076,-0.0085,0,0,-23.03318277,0,-29.44243332,-0.729467768,-2475.224782,0,Hold
1/25/2016,190.1499939,187.4100037,189.9199982,187.6399994,130371700,173.5469818,-0.0151,-0.0006,-0.011,0,0,0,0,0,0,0,-0.0038,-0.0086,-0.0121,-0.0144,-0.0158,-0.0169,-0.0191,-0.0209,-0.0218,0,0,-35.79035524,0,-43.74630822,-2.326777487,-7258.928199,34.40675751,Hold
1/26/2016,190.5299988,188.0200043,188.4199982,190.1999969,141036800,175.9146881,0.0136,0.0133,0.0048,-0.0094,0,0,0,0,0,0,0.0065,0.004,0.0012,-0.0008,-0.0022,-0.0031,-0.0053,-0.007,-0.0079,0,0,-26.81364476,-28.54572759,-18.9303951,-1.786655179,1787.019928,41.59237587,Hold
1/27/2016,191.5599976,187.0599976,189.5800018,188.1300049,185681700,174.0001831,-0.0109,-0.0001,-0.0051,-0.0165,0,0,0,0,0,0,-0.003,-0.0056,-0.0084,-0.0103,-0.0117,-0.0127,-0.0148,-0.0166,-0.0175,0,0,-42.75165621,-35.11855207,-22.88072451,-0.370715413,-6525.888971,37.97026275,Hold
1/28/2016,190.1999969,187.1600037,189.9600067,189.1100006,143798800,174.9065857,0.0052,0.0025,0.003,-0.0068,0,0,0,0,0,0,0.0015,-0.0004,-0.0028,-0.0046,-0.0059,-0.0068,-0.009,-0.0107,-0.0117,0,0,-41.22331641,-36.92953913,-17.81722446,-1.469260692,1729.004157,40.60738371,Hold
1/29/2016,193.8800049,189.8800049,190.0200043,193.7200012,210529300,179.1703339,0.0244,0.0243,0.0273,0.0209,0,0,0,0,0,0,0.0171,0.0194,0.0186,0.0174,0.0165,0.0158,0.0141,0.0125,0.0117,0,0,-13.36467413,-32.44654892,87.90554482,3.14680084,11020.98527,51.13206971,Hold
2/1/2016,194.5800018,191.8399963,192.5299988,193.6499939,136061600,179.1055603,-0.0004,0.0205,0.0259,0.0207,0,0,0,0,0,0,0.0111,0.0155,0.0157,0.0152,0.0146,0.014,0.0127,0.0114,0.0107,0,0,-13.8326913,-22.80689395,103.2029367,2.972436346,10067.3667,50.98425975,Sell
2/2/2016,191.9700012,189.5399933,191.9600067,190.1600037,182564900,175.8777008,-0.018,-0.0042,0.0043,0.0016,-0.0083,0,0,0,0,0,-0.0048,-0.0023,-0.0023,-0.0028,-0.0034,-0.0039,-0.0052,-0.0064,-0.0071,-0.0475,0.0344,-37.1553817,-21.45091571,35.98624311,2.429300113,5859.147688,44.13702883,Hold
2/3/2016,191.7799988,187.1000061,191.4100037,191.3000031,205054900,176.9320984,0.006,0.0018,0.0092,0.0083,0.0005,0,0,0,0,0,0.0008,0.003,0.0032,0.0028,0.0024,0.0019,0.0007,-0.0004,-0.0011,-0.0314,0.0346,-30.14680398,-27.04495899,21.94390346,2.469328145,1479.30765,46.65719495,Hold
2/4/2016,192.75,189.9600067,190.7100067,191.6000061,139531800,177.209549,0.0016,0.0001,0.0078,0.0108,0.0047,0,0,0,0,0,0.0016,0.0037,0.0042,0.0039,0.0036,0.0032,0.0022,0.0011,0.0004,-0.0212,0.032,-28.10070803,-31.80096457,61.5840211,0.566861702,5110.445855,47.33052809,Hold
2/5/2016,191.6699982,187.1999969,190.9900055,187.9499969,180788300,173.8336792,-0.0191,-0.0215,-0.0139,-0.0095,-0.0125,0,0,0,0,0,-0.0117,-0.0126,-0.013,-0.0136,-0.0142,-0.0146,-0.0159,-0.0171,-0.0178,-0.037,0.0132,-52.99650713,-37.08133971,-14.24674635,0.165198717,-3762.220633,40.61307327,Hold
